,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
22,33.0,0.8918918918918919,296.0,4.0,267.0,0.9866666666666667,0.11,0.19584569732937684,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,210,0.02
23,160.0,0.7511737089201878,247.0,53.0,140.0,0.8233333333333334,0.5333333333333333,0.6237816764132552,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 180}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,180,0.03
24,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 230}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,230,0.02
25,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 230}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,30,230,0.01
26,2.0,1.0,300.0,0.0,298.0,1.0,0.006666666666666667,0.013245033112582783,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,220,0.01
27,3.0,1.0,300.0,0.0,297.0,1.0,0.01,0.019801980198019802,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,220,0.02
28,2.0,1.0,300.0,0.0,298.0,1.0,0.006666666666666667,0.013245033112582783,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,30,220,0.03
29,27.0,0.9,297.0,3.0,273.0,0.99,0.09,0.16363636363636364,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,210,0.03
30,60.0,0.8333333333333334,288.0,12.0,240.0,0.96,0.2,0.3225806451612903,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,200,0.02
31,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,220,0.02
32,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,220,0.01
33,181.0,0.724,231.0,69.0,119.0,0.77,0.6033333333333334,0.6581818181818183,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 170}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,170,0.03
34,85.0,0.8333333333333334,283.0,17.0,215.0,0.9433333333333334,0.2833333333333333,0.42288557213930345,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 190}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,190,0.02
